client_id	criterion	n_new_trees	round	val_accuracy	val_f1_score	val_loss	val_precision	val_recall	val_specificity
5	gini	8	179	0.958904109589041	0.97165991902834	0.2680993515278057	0.9703504043126685	0.972972972972973	0.9219858156028369
11	gini	8	179	0.9424184261036468	0.9620253164556962	0.35063701405634884	0.9718670076726342	0.9523809523809523	0.9098360655737705
1	gini	8	180	0.9432048681541582	0.964735516372796	0.2945189692615555	0.9433497536945813	0.9871134020618557	0.780952380952381
11	gini	8	180	0.9424184261036468	0.9620253164556962	0.35063701405634884	0.9718670076726342	0.9523809523809523	0.9098360655737705
5	gini	8	180	0.958904109589041	0.97165991902834	0.2680993515278057	0.9703504043126685	0.972972972972973	0.9219858156028369
8	gini	8	180	0.935361216730038	0.9552631578947368	0.41615408478819327	0.952755905511811	0.9577836411609498	0.8775510204081632
4	gini	8	180	0.9434697855750487	0.9575402635431918	0.22366135763991815	0.956140350877193	0.9589442815249267	0.9127906976744186
2	gini	8	181	0.9341317365269461	0.9537166900420757	0.17069026585482874	0.947075208913649	0.96045197740113	0.8707482993197279
11	gini	8	181	0.9424184261036468	0.9620253164556962	0.35063701405634884	0.9718670076726342	0.9523809523809523	0.9098360655737705
3	gini	8	181	0.9476635514018692	0.9627659574468085	0.13057233927943612	0.9783783783783784	0.9476439790575916	0.9477124183006536
8	gini	8	181	0.935361216730038	0.9552631578947368	0.41615408478819327	0.952755905511811	0.9577836411609498	0.8775510204081632
9	gini	8	181	0.9127134724857685	0.9346590909090909	0.2565071517460498	0.9508670520231214	0.9189944134078212	0.8994082840236687
11	gini	8	182	0.9424184261036468	0.9620253164556962	0.35063701405634884	0.9718670076726342	0.9523809523809523	0.9098360655737705
7	gini	8	182	0.9441233140655106	0.9636135508155583	0.15263551248039828	0.9504950495049505	0.9770992366412213	0.8412698412698413
2	gini	8	182	0.9341317365269461	0.9537166900420757	0.17069026585482874	0.947075208913649	0.96045197740113	0.8707482993197279
9	gini	8	182	0.9127134724857685	0.9346590909090909	0.2565071517460498	0.9508670520231214	0.9189944134078212	0.8994082840236687
12	gini	8	182	0.9339805825242719	0.9512893982808023	0.44465127865452175	0.9431818181818182	0.9595375722543352	0.8816568047337278
1	gini	8	183	0.9432048681541582	0.964735516372796	0.2945189692615555	0.9433497536945813	0.9871134020618557	0.780952380952381
4	gini	8	183	0.9434697855750487	0.9575402635431918	0.22366135763991815	0.956140350877193	0.9589442815249267	0.9127906976744186
15	gini	8	183	0.9153846153846154	0.9351032448377581	0.333314385826686	0.9462686567164179	0.924198250728863	0.8983050847457628
7	gini	8	183	0.9441233140655106	0.9636135508155583	0.15263551248039828	0.9504950495049505	0.9770992366412213	0.8412698412698413
12	gini	8	183	0.9339805825242719	0.9512893982808023	0.44465127865452175	0.9431818181818182	0.9595375722543352	0.8816568047337278
8	gini	8	184	0.935361216730038	0.9552631578947368	0.41615408478819327	0.952755905511811	0.9577836411609498	0.8775510204081632
6	gini	8	184	0.9389002036659878	0.9578651685393258	0.23682210791932826	0.9419889502762431	0.9742857142857143	0.851063829787234
9	gini	8	184	0.9127134724857685	0.9346590909090909	0.2565071517460498	0.9508670520231214	0.9189944134078212	0.8994082840236687
12	gini	8	184	0.9339805825242719	0.9512893982808023	0.44465127865452175	0.9431818181818182	0.9595375722543352	0.8816568047337278
3	gini	8	184	0.9476635514018692	0.9627659574468085	0.13057233927943612	0.9783783783783784	0.9476439790575916	0.9477124183006536
11	gini	8	185	0.9424184261036468	0.9620253164556962	0.35063701405634884	0.9718670076726342	0.9523809523809523	0.9098360655737705
12	gini	8	185	0.9339805825242719	0.9512893982808023	0.44465127865452175	0.9431818181818182	0.9595375722543352	0.8816568047337278
2	gini	8	185	0.9341317365269461	0.9537166900420757	0.17069026585482874	0.947075208913649	0.96045197740113	0.8707482993197279
5	gini	8	185	0.958904109589041	0.97165991902834	0.2680993515278057	0.9703504043126685	0.972972972972973	0.9219858156028369
10	gini	8	185	0.9491833030852994	0.9642857142857143	0.1412365600971183	0.9692307692307692	0.9593908629441624	0.9235668789808917
15	gini	8	186	0.9153846153846154	0.9351032448377581	0.333314385826686	0.9462686567164179	0.924198250728863	0.8983050847457628
4	gini	8	186	0.9434697855750487	0.9575402635431918	0.22366135763991815	0.956140350877193	0.9589442815249267	0.9127906976744186
13	gini	8	186	0.9388145315487572	0.961352657004831	0.2985237128543944	0.9590361445783132	0.9636803874092009	0.8454545454545455
1	gini	8	186	0.9432048681541582	0.964735516372796	0.2945189692615555	0.9433497536945813	0.9871134020618557	0.780952380952381
14	gini	8	186	0.9447731755424064	0.9628647214854111	0.27166712126822107	0.9654255319148937	0.9603174603174603	0.8992248062015504
2	gini	8	187	0.9341317365269461	0.9537166900420757	0.17069026585482874	0.947075208913649	0.96045197740113	0.8707482993197279
10	gini	8	187	0.9491833030852994	0.9642857142857143	0.1412365600971183	0.9692307692307692	0.9593908629441624	0.9235668789808917
15	gini	8	187	0.9153846153846154	0.9351032448377581	0.333314385826686	0.9462686567164179	0.924198250728863	0.8983050847457628
14	gini	8	187	0.9447731755424064	0.9628647214854111	0.27166712126822107	0.9654255319148937	0.9603174603174603	0.8992248062015504
6	gini	8	187	0.9389002036659878	0.9578651685393258	0.23682210791932826	0.9419889502762431	0.9742857142857143	0.851063829787234
10	gini	8	188	0.9491833030852994	0.9642857142857143	0.1412365600971183	0.9692307692307692	0.9593908629441624	0.9235668789808917
1	gini	8	188	0.9432048681541582	0.964735516372796	0.2945189692615555	0.9433497536945813	0.9871134020618557	0.780952380952381
5	gini	8	188	0.958904109589041	0.97165991902834	0.2680993515278057	0.9703504043126685	0.972972972972973	0.9219858156028369
6	gini	8	188	0.9389002036659878	0.9578651685393258	0.23682210791932826	0.9419889502762431	0.9742857142857143	0.851063829787234
4	gini	8	188	0.9434697855750487	0.9575402635431918	0.22366135763991815	0.956140350877193	0.9589442815249267	0.9127906976744186
11	gini	8	189	0.9424184261036468	0.9620253164556962	0.35063701405634884	0.9718670076726342	0.9523809523809523	0.9098360655737705
4	gini	8	189	0.9434697855750487	0.9575402635431918	0.22366135763991815	0.956140350877193	0.9589442815249267	0.9127906976744186
1	gini	8	189	0.9432048681541582	0.964735516372796	0.2945189692615555	0.9433497536945813	0.9871134020618557	0.780952380952381
9	gini	8	189	0.9127134724857685	0.9346590909090909	0.2565071517460498	0.9508670520231214	0.9189944134078212	0.8994082840236687
6	gini	8	189	0.9389002036659878	0.9578651685393258	0.23682210791932826	0.9419889502762431	0.9742857142857143	0.851063829787234
4	gini	8	190	0.9434697855750487	0.9575402635431918	0.22366135763991815	0.956140350877193	0.9589442815249267	0.9127906976744186
2	gini	8	190	0.9341317365269461	0.9537166900420757	0.17069026585482874	0.947075208913649	0.96045197740113	0.8707482993197279
5	gini	8	190	0.958904109589041	0.97165991902834	0.2680993515278057	0.9703504043126685	0.972972972972973	0.9219858156028369
1	gini	8	190	0.9432048681541582	0.964735516372796	0.2945189692615555	0.9433497536945813	0.9871134020618557	0.780952380952381
12	gini	8	190	0.9339805825242719	0.9512893982808023	0.44465127865452175	0.9431818181818182	0.9595375722543352	0.8816568047337278
3	gini	8	191	0.9476635514018692	0.9627659574468085	0.13057233927943612	0.9783783783783784	0.9476439790575916	0.9477124183006536
12	gini	8	191	0.9339805825242719	0.9512893982808023	0.44465127865452175	0.9431818181818182	0.9595375722543352	0.8816568047337278
11	gini	8	191	0.9424184261036468	0.9620253164556962	0.35063701405634884	0.9718670076726342	0.9523809523809523	0.9098360655737705
4	gini	8	191	0.9434697855750487	0.9575402635431918	0.22366135763991815	0.956140350877193	0.9589442815249267	0.9127906976744186
5	gini	8	191	0.958904109589041	0.97165991902834	0.2680993515278057	0.9703504043126685	0.972972972972973	0.9219858156028369
6	gini	8	192	0.9389002036659878	0.9578651685393258	0.23682210791932826	0.9419889502762431	0.9742857142857143	0.851063829787234
8	gini	8	192	0.935361216730038	0.9552631578947368	0.41615408478819327	0.952755905511811	0.9577836411609498	0.8775510204081632
3	gini	8	192	0.9476635514018692	0.9627659574468085	0.13057233927943612	0.9783783783783784	0.9476439790575916	0.9477124183006536
2	gini	8	192	0.9341317365269461	0.9537166900420757	0.17069026585482874	0.947075208913649	0.96045197740113	0.8707482993197279
13	gini	8	192	0.9388145315487572	0.961352657004831	0.2985237128543944	0.9590361445783132	0.9636803874092009	0.8454545454545455
6	gini	8	193	0.9389002036659878	0.9578651685393258	0.23682210791932826	0.9419889502762431	0.9742857142857143	0.851063829787234
2	gini	8	193	0.9341317365269461	0.9537166900420757	0.17069026585482874	0.947075208913649	0.96045197740113	0.8707482993197279
14	gini	8	193	0.9447731755424064	0.9628647214854111	0.27166712126822107	0.9654255319148937	0.9603174603174603	0.8992248062015504
4	gini	8	193	0.9434697855750487	0.9575402635431918	0.22366135763991815	0.956140350877193	0.9589442815249267	0.9127906976744186
3	gini	8	193	0.9476635514018692	0.9627659574468085	0.13057233927943612	0.9783783783783784	0.9476439790575916	0.9477124183006536
13	gini	8	194	0.9388145315487572	0.961352657004831	0.2985237128543944	0.9590361445783132	0.9636803874092009	0.8454545454545455
2	gini	8	194	0.9341317365269461	0.9537166900420757	0.17069026585482874	0.947075208913649	0.96045197740113	0.8707482993197279
3	gini	8	194	0.9476635514018692	0.9627659574468085	0.13057233927943612	0.9783783783783784	0.9476439790575916	0.9477124183006536
8	gini	8	194	0.935361216730038	0.9552631578947368	0.41615408478819327	0.952755905511811	0.9577836411609498	0.8775510204081632
14	gini	8	194	0.9447731755424064	0.9628647214854111	0.27166712126822107	0.9654255319148937	0.9603174603174603	0.8992248062015504
8	gini	8	195	0.935361216730038	0.9552631578947368	0.41615408478819327	0.952755905511811	0.9577836411609498	0.8775510204081632
2	gini	8	195	0.9341317365269461	0.9537166900420757	0.17069026585482874	0.947075208913649	0.96045197740113	0.8707482993197279
3	gini	8	195	0.9476635514018692	0.9627659574468085	0.13057233927943612	0.9783783783783784	0.9476439790575916	0.9477124183006536
11	gini	8	195	0.9424184261036468	0.9620253164556962	0.35063701405634884	0.9718670076726342	0.9523809523809523	0.9098360655737705
4	gini	8	195	0.9434697855750487	0.9575402635431918	0.22366135763991815	0.956140350877193	0.9589442815249267	0.9127906976744186
3	gini	8	196	0.9476635514018692	0.9627659574468085	0.13057233927943612	0.9783783783783784	0.9476439790575916	0.9477124183006536
11	gini	8	196	0.9424184261036468	0.9620253164556962	0.35063701405634884	0.9718670076726342	0.9523809523809523	0.9098360655737705
7	gini	8	196	0.9441233140655106	0.9636135508155583	0.15263551248039828	0.9504950495049505	0.9770992366412213	0.8412698412698413
6	gini	8	196	0.9389002036659878	0.9578651685393258	0.23682210791932826	0.9419889502762431	0.9742857142857143	0.851063829787234
4	gini	8	196	0.9434697855750487	0.9575402635431918	0.22366135763991815	0.956140350877193	0.9589442815249267	0.9127906976744186
3	gini	8	197	0.9476635514018692	0.9627659574468085	0.13057233927943612	0.9783783783783784	0.9476439790575916	0.9477124183006536
7	gini	8	197	0.9441233140655106	0.9636135508155583	0.15263551248039828	0.9504950495049505	0.9770992366412213	0.8412698412698413
2	gini	8	197	0.9341317365269461	0.9537166900420757	0.17069026585482874	0.947075208913649	0.96045197740113	0.8707482993197279
13	gini	8	197	0.9388145315487572	0.961352657004831	0.2985237128543944	0.9590361445783132	0.9636803874092009	0.8454545454545455
5	gini	8	197	0.958904109589041	0.97165991902834	0.2680993515278057	0.9703504043126685	0.972972972972973	0.9219858156028369
9	gini	8	198	0.9127134724857685	0.9346590909090909	0.2565071517460498	0.9508670520231214	0.9189944134078212	0.8994082840236687
15	gini	8	198	0.9153846153846154	0.9351032448377581	0.333314385826686	0.9462686567164179	0.924198250728863	0.8983050847457628
6	gini	8	198	0.9389002036659878	0.9578651685393258	0.23682210791932826	0.9419889502762431	0.9742857142857143	0.851063829787234
10	gini	8	198	0.9491833030852994	0.9642857142857143	0.1412365600971183	0.9692307692307692	0.9593908629441624	0.9235668789808917
7	gini	8	198	0.9441233140655106	0.9636135508155583	0.15263551248039828	0.9504950495049505	0.9770992366412213	0.8412698412698413
4	gini	8	199	0.9434697855750487	0.9575402635431918	0.22366135763991815	0.956140350877193	0.9589442815249267	0.9127906976744186
14	gini	8	199	0.9447731755424064	0.9628647214854111	0.27166712126822107	0.9654255319148937	0.9603174603174603	0.8992248062015504
11	gini	8	199	0.9424184261036468	0.9620253164556962	0.35063701405634884	0.9718670076726342	0.9523809523809523	0.9098360655737705
5	gini	8	199	0.958904109589041	0.97165991902834	0.2680993515278057	0.9703504043126685	0.972972972972973	0.9219858156028369
2	gini	8	199	0.9341317365269461	0.9537166900420757	0.17069026585482874	0.947075208913649	0.96045197740113	0.8707482993197279
1	gini	8	200	0.9432048681541582	0.964735516372796	0.2945189692615555	0.9433497536945813	0.9871134020618557	0.780952380952381
6	gini	8	200	0.9389002036659878	0.9578651685393258	0.23682210791932826	0.9419889502762431	0.9742857142857143	0.851063829787234
10	gini	8	200	0.9491833030852994	0.9642857142857143	0.1412365600971183	0.9692307692307692	0.9593908629441624	0.9235668789808917
12	gini	8	200	0.9339805825242719	0.9512893982808023	0.44465127865452175	0.9431818181818182	0.9595375722543352	0.8816568047337278
15	gini	8	200	0.9153846153846154	0.9351032448377581	0.333314385826686	0.9462686567164179	0.924198250728863	0.8983050847457628
